cat,F_CODEDESC,F_CODE,AREAKM2
1.000,Scrub/Brush,EB020,208.800
2.000,Scrub/Brush,EB020,2032.186
3.000,Scrub/Brush,EB020,110.812
4.000,Scrub/Brush,EB020,1573.062
5.000,Scrub/Brush,EB020,106.651
7.000,Scrub/Brush,EB020,130.863
8.000,Scrub/Brush,EB020,151.526
9.000,Scrub/Brush,EB020,736.645
10.000,Scrub/Brush,EB020,678.967
11.000,Scrub/Brush,EB020,160.956
12.000,Scrub/Brush,EB020,157.468
13.000,Scrub/Brush,EB020,580.319
20.000,Scrub/Brush,EB020,141.448
21.000,Scrub/Brush,EB020,116.850
22.000,Scrub/Brush,EB020,262.456
23.000,Scrub/Brush,EB020,137.484
6.000,Scrub/Brush,EB020,186.673
14.000,Grassland,EB010,354.877
15.000,Scrub/Brush,EB020,114.614
16.000,Scrub/Brush,EB020,156.795
17.000,Scrub/Brush,EB020,169.684
18.000,Grassland,EB010,118.721
19.000,Grassland,EB010,119.780
24.000,Grassland,EB010,142.898
25.000,Grassland,EB010,173.008
43.000,Scrub/Brush,EB020,207.153
49.000,Scrub/Brush,EB020,127.068
54.000,Scrub/Brush,EB020,309.827
73.000,Scrub/Brush,EB020,349.000
27.000,Scrub/Brush,EB020,136.619
80.000,Scrub/Brush,EB020,1083.957
81.000,Scrub/Brush,EB020,120.589
83.000,Scrub/Brush,EB020,172.974
90.000,Scrub/Brush,EB020,297.692
93.000,Scrub/Brush,EB020,1448.531
97.000,Scrub/Brush,EB020,1214.337
99.000,Scrub/Brush,EB020,4696.048
28.000,Scrub/Brush,EB020,272.739
100.000,Scrub/Brush,EB020,124.779
101.000,Scrub/Brush,EB020,104.852
102.000,Scrub/Brush,EB020,472.912
106.000,Scrub/Brush,EB020,489.150
110.000,Scrub/Brush,EB020,283.160
113.000,Grassland,EB010,154.640
114.000,Grassland,EB010,154.606
115.000,Grassland,EB010,223.356
116.000,Grassland,EB010,475.546
117.000,Scrub/Brush,EB020,237.347
118.000,Scrub/Brush,EB020,139.679
119.000,Scrub/Brush,EB020,183.499
120.000,Scrub/Brush,EB020,179.956
121.000,Scrub/Brush,EB020,120.898
122.000,Scrub/Brush,EB020,196.266
123.000,Scrub/Brush,EB020,162.775
124.000,Scrub/Brush,EB020,922.602
125.000,Scrub/Brush,EB020,294.634
126.000,Scrub/Brush,EB020,184.556
127.000,Scrub/Brush,EB020,134.132
128.000,Scrub/Brush,EB020,112.802
129.000,Scrub/Brush,EB020,278.901
130.000,Scrub/Brush,EB020,212.388
131.000,Scrub/Brush,EB020,141.494
132.000,Scrub/Brush,EB020,347.533
133.000,Scrub/Brush,EB020,1226.206
134.000,Scrub/Brush,EB020,105.677
135.000,Scrub/Brush,EB020,132.638
136.000,Scrub/Brush,EB020,188.244
137.000,Grassland,EB010,1650.524
138.000,Scrub/Brush,EB020,7216.138
26.000,Scrub/Brush,EB020,334.556
142.000,Scrub/Brush,EB020,311.497
143.000,Scrub/Brush,EB020,115.409
29.000,Scrub/Brush,EB020,3220.566
30.000,Scrub/Brush,EB020,25317.399
31.000,Grassland,EB010,16545.451
32.000,Scrub/Brush,EB020,33952.679
33.000,Grassland,EB010,2345.522
34.000,Scrub/Brush,EB020,355.162
35.000,Scrub/Brush,EB020,1131.228
36.000,Grassland,EB010,235.953
37.000,Scrub/Brush,EB020,768.477
38.000,Scrub/Brush,EB020,25325.289
39.000,Scrub/Brush,EB020,37070.700
40.000,Scrub/Brush,EB020,2778.175
41.000,Grassland,EB010,427.554
42.000,Scrub/Brush,EB020,230.240
44.000,Grassland,EB010,1009.902
45.000,Scrub/Brush,EB020,473.995
46.000,Grassland,EB010,329.777
47.000,Grassland,EB010,430.124
48.000,Scrub/Brush,EB020,1901.185
50.000,Grassland,EB010,216.955
51.000,Scrub/Brush,EB020,202.345
52.000,Scrub/Brush,EB020,435.539
53.000,Grassland,EB010,223.886
55.000,Scrub/Brush,EB020,240.782
56.000,Scrub/Brush,EB020,376.065
57.000,Grassland,EB010,500.425
58.000,Scrub/Brush,EB020,135.853
59.000,Grassland,EB010,304.015
60.000,Grassland,EB010,2910.717
61.000,Scrub/Brush,EB020,828.968
62.000,Grassland,EB010,462.589
63.000,Grassland,EB010,328.685
64.000,Grassland,EB010,1252.896
65.000,Grassland,EB010,130.823
66.000,Scrub/Brush,EB020,192.216
67.000,Scrub/Brush,EB020,369.389
68.000,Scrub/Brush,EB020,822.176
69.000,Scrub/Brush,EB020,2447.678
70.000,Scrub/Brush,EB020,228.951
71.000,Scrub/Brush,EB020,290.087
72.000,Grassland,EB010,137.215
74.000,Scrub/Brush,EB020,106.097
75.000,Scrub/Brush,EB020,455.758
76.000,Scrub/Brush,EB020,1757.347
77.000,Scrub/Brush,EB020,125.511
78.000,Grassland,EB010,1739.813
79.000,Grassland,EB010,226.605
82.000,Grassland,EB010,118.641
84.000,Scrub/Brush,EB020,753.493
85.000,Grassland,EB010,196.141
86.000,Scrub/Brush,EB020,387.181
87.000,Grassland,EB010,557.760
88.000,Grassland,EB010,138.183
89.000,Grassland,EB010,331.088
91.000,Grassland,EB010,172.981
92.000,Grassland,EB010,295.922
94.000,Grassland,EB010,211.118
95.000,Grassland,EB010,126.946
96.000,Scrub/Brush,EB020,622.856
98.000,Grassland,EB010,157.277
103.000,Grassland,EB010,144.750
104.000,Scrub/Brush,EB020,235.981
105.000,Grassland,EB010,135.564
107.000,Scrub/Brush,EB020,202.991
108.000,Grassland,EB010,111.602
109.000,Scrub/Brush,EB020,375.130
111.000,Scrub/Brush,EB020,187.464
112.000,Grassland,EB010,617.319
139.000,Scrub/Brush,EB020,1934.217
140.000,Grassland,EB010,236.053
141.000,Scrub/Brush,EB020,1904.050
